Cust.ID,2008,2009 Q1,2009 Q2,2009 Q3,2009 Q4,# mailings,# phone,# email,AmCancer,RedCross,MS-Society,AmHeart,SaveChildren,WorldFood,Bloom/BW,BetterHome,Money,NY'er,FieldStream,PCWorld,RollingStone,Car,Vacation,Health/Fit
16,20,14,14,9,15,2,0,1,25,56,49,31,76,36,0,1,1,1,0,0,1,1,0,0
111,115,152,90,31,165,0,1,2,4,34,41,54,27,33,0,0,1,1,1,1,1,0,0,1
4,56,21,22,3,55,1,0,0,49,46,5,5,38,26,0,1,1,1,0,1,0,1,0,0
6,38,0,22,59,34,2,1,0,34,29,9,42,16,7,0,0,0,0,1,0,0,1,0,1
47,92,127,32,21,16,1,2,1,40,27,15,6,38,12,1,1,0,1,0,1,0,0,1,1
140,73,26,9,191,159,2,2,2,18,18,0,23,17,12,1,1,1,0,1,1,0,1,1,1
0,14,2,17,8,11,1,2,0,6,12,3,7,8,10,0,1,0,1,1,0,1,1,1,0
73,112,83,75,46,83,0,0,1,26,30,37,62,0,2,1,0,1,0,1,0,0,0,1,0
0,0,0,0,0,0,1,1,1,9,5,23,16,4,2,1,1,1,0,0,0,0,0,0,1
79,155,181,113,81,69,0,2,2,4,5,4,5,4,1,1,1,1,0,1,0,0,0,0,1
31,77,10,40,29,42,2,0,1,4,5,9,3,8,7,1,1,0,0,0,1,0,0,0,1
74,121,8,35,75,89,0,1,0,0,4,15,3,2,8,0,0,1,1,1,0,0,1,0,0
55,17,133,156,90,81,0,2,2,7,81,57,54,60,1,0,0,0,1,0,0,0,0,0,0
33,39,12,10,21,9,1,0,1,13,24,5,35,37,43,1,0,1,0,1,1,1,0,0,1
1,26,71,22,101,113,1,1,1,20,16,32,43,9,16,1,0,0,0,1,1,0,0,0,0
205,86,107,127,191,31,0,0,0,11,7,10,12,15,1,0,0,1,0,1,1,1,1,0,0
137,87,5,131,113,2,2,1,0,17,35,0,66,41,32,1,1,1,1,0,0,0,0,1,1
93,87,28,22,92,203,0,1,0,1,5,9,9,10,0,1,1,0,1,0,0,0,1,1,1
77,71,8,25,65,52,2,1,0,7,2,9,6,8,2,1,0,1,0,0,0,1,0,1,0
29,18,52,18,23,0,1,0,0,15,9,18,18,27,7,0,1,0,1,0,0,1,1,1,1
43,48,20,26,3,36,0,2,0,13,75,19,69,8,47,0,0,1,0,0,0,1,1,0,0
146,128,69,163,64,12,0,0,0,73,77,69,8,14,56,1,0,0,0,0,1,0,1,0,0
3,16,13,9,3,19,2,1,1,8,20,3,6,1,7,1,1,1,1,1,5,1,1,1,0
42,112,60,148,137,95,0,2,0,28,27,97,12,33,92,1,0,0,0,1,1,1,0,1,0
40,30,40,8,6,15,2,2,0,9,1,37,45,66,33,1,1,1,1,1,1,1,1,0,1
42,40,46,22,29,126,0,2,0,1,1,2,0,3,4,0,1,1,1,0,0,0,1,1,1
15,14,42,22,5,42,2,1,2,1,1,8,2,0,2,0,1,0,0,0,1,0,1,0,1
88,83,88,14,55,73,1,1,1,31,54,3,48,30,8,0,1,0,0,1,0,1,0,1,1
23,3,32,17,31,6,1,0,0,17,15,25,7,24,6,0,1,1,0,0,1,1,1,1,0
95,69,33,17,20,9,2,2,1,31,25,11,34,3,32,0,1,1,0,0,0,1,1,0,1
218,46,114,201,19,130,0,1,1,24,38,11,12,26,18,0,0,0,1,1,0,0,0,1,0
1,0,1,0,2,0,0,0,0,29,17,5,12,23,15,1,0,0,0,0,1,1,0,1,0
62,29,21,56,26,16,0,0,0,18,27,33,62,27,66,0,1,0,1,1,1,0,1,0,1
245,60,189,142,184,41,2,2,2,2,10,2,18,12,12,1,1,0,1,1,0,1,1,0,0
12,35,12,18,12,24,0,2,0,25,64,29,2,30,16,0,0,1,1,1,0,1,1,1,0
35,14,30,27,4,32,1,1,0,45,35,73,38,54,11,1,1,1,1,0,1,1,1,1,1
29,7,7,35,112,49,2,2,2,13,19,68,75,72,78,1,0,1,0,0,0,1,1,1,1
29,2,6,16,31,17,2,1,2,40,23,22,21,5,11,1,1,1,0,1,0,0,0,1,1
15,7,1,19,4,19,1,1,2,33,14,34,1,33,7,1,1,0,1,1,0,0,1,0,0
48,31,24,49,54,11,1,0,1,10,10,35,21,19,2,0,1,0,1,1,0,1,1,0,0
8,7,29,27,25,22,2,2,0,7,27,11,19,14,28,1,0,1,0,1,0,0,0,0,1
31,50,106,172,40,95,2,0,0,13,16,49,2,42,21,0,1,1,0,0,0,0,1,0,0
15,7,98,36,103,66,0,1,2,2,6,2,3,5,5,0,0,1,1,0,1,1,0,1,0
61,12,31,8,80,76,2,0,1,22,22,14,27,3,15,0,0,0,1,1,0,1,1,0,1
76,16,87,96,93,41,1,2,2,8,6,4,6,12,2,1,0,1,0,1,1,1,1,1,1
41,221,71,151,133,65,0,2,0,2,2,1,0,1,2,0,1,1,0,0,0,0,1,0,1
-78,137,16,117,17,155,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
87,90,58,37,128,38,1,2,1,4,27,8,4,21,60,1,0,0,0,0,1,0,0,1,0
76,37,15,39,95,53,2,1,1,352,352,473,374,209,33,1,0,0,1,1,0,0,1,1,0
83,4,66,57,83,92,0,0,1,10,47,38,6,26,18,1,0,1,1,1,0,0,1,0,0
56,48,4,4,20,55,1,1,2,7,0,1,26,18,32,0,0,0,0,0,1,1,0,0,1
77,16,72,46,57,9,0,0,2,8,14,22,2,20,9,0,1,1,1,0,0,0,0,1,0
55,39,30,89,16,2,2,2,1,6,10,22,26,17,10,0,0,1,1,0,1,1,1,0,0
129,137,29,17,67,45,0,2,0,53,40,49,54,74,50,1,1,1,0,1,1,0,0,1,0
13,5,0,61,4,31,0,1,0,12,18,8,31,34,15,0,1,1,0,0,1,0,0,1,0
57,71,49,71,77,32,0,1,1,37,33,29,11,39,1,1,1,1,0,0,1,1,1,0,1
48,37,37,40,59,29,1,0,1,50,27,13,9,19,31,0,1,1,1,1,1,0,0,1,0
42,90,72,164,57,18,0,0,0,13,24,47,6,43,24,0,1,0,0,0,0,1,1,1,0
28,87,107,91,56,45,2,0,2,10,19,25,9,25,18,1,0,0,0,1,1,1,0,1,0
8,1,11,0,17,4,1,1,0,55,16,18,87,41,5,1,1,1,0,0,1,0,1,1,0
102,152,140,47,117,65,1,0,1,4,11,14,0,10,1,1,1,0,1,0,0,0,0,1,0
3,0,2,3,2,0,2,0,2,74,61,13,38,66,15,1,1,1,0,0,1,0,0,1,1
72,89,18,44,64,86,2,1,1,53,28,24,29,30,52,0,0,0,1,0,0,1,1,0,0
26,37,48,9,3,19,1,1,2,49,24,50,39,22,69,0,1,0,1,0,1,0,1,1,1
55,65,23,75,84,39,2,0,2,9,1,2,8,2,5,0,0,0,0,1,0,0,1,1,1
24,1,20,7,3,11,0,1,2,270,195,435,195,390,465,1,0,0,1,0,0,1,1,0,1
19,40,1,59,35,30,1,2,1,2,2,0,3,5,1,1,0,0,1,1,1,0,0,1,1
56,80,90,75,27,18,2,0,2,36,4,43,10,33,9,1,1,0,0,1,1,1,0,0,0
91,83,32,110,16,42,2,2,2,7,21,13,5,6,22,0,0,1,1,1,1,1,0,0,1
4,28,38,55,37,36,2,1,1,35,34,17,26,55,26,0,1,0,1,0,0,0,1,0,1
22,13,1,15,26,5,1,2,1,38,4,36,25,18,45,0,0,0,1,0,0,1,0,1,1
106,16,56,54,34,106,1,0,0,35,37,23,45,42,23,1,1,1,1,1,0,0,0,0,1
71,121,10,122,86,165,1,0,1,8,11,14,10,0,13,1,0,0,1,0,1,0,1,1,1
